year,urea_usd_mt,dap_usd_mt,natgas_europe_usd_mmbtu
2010,288.9,456.43,8.29
2011,398.92,516.29,10.52
2012,398.6,480.24,11.47
2013,339.61,410.97,11.79
2014,308.44,429.59,10.05
2015,277.94,416.62,6.82
2016,194.13,315.81,4.56
2017,213.88,323.03,5.72
2018,249.45,393.42,7.68
2019,245.28,306.36,4.8
2020,229.1,312.42,3.24
2021,483.21,600.96,16.12
2022,700.02,772.16,40.34
2023,358.0,550.05,13.11
2024,338.27,563.66,10.96
2025,422.66,685.22,11.96
